source,E_MeV,eta_rad,sin2theta12,dm21_eV2,dm21_1e5_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,10.0,0.25,0.24,5.625e-05,5.624999999999999,0.25397352443140553,0.2602532500143001,0.00627972558289458
B8,12.0,0.25,0.24,5.625e-05,5.624999999999999,0.2456979465063422,0.2473350959427971,0.0016371494364549044
B8,14.0,0.25,0.24,5.625e-05,5.624999999999999,0.24082003853205883,0.24587351591329543,0.0050534773812365985
B8,5.0,0.8,0.24,5.625e-05,5.624999999999999,0.3294798877672999,0.33519269809368724,0.005712810326387319
B8,7.0,0.8,0.24,5.625e-05,5.624999999999999,0.28232308467982437,0.28618849719610145,0.003865412516277089
B8,10.0,0.8,0.24,5.625e-05,5.624999999999999,0.25397352443140553,0.281641815905509,0.02766829147410349
B8,12.0,0.8,0.24,5.625e-05,5.624999999999999,0.2456979465063422,0.25967019624042853,0.01397224973408634
B8,14.0,0.8,0.24,5.625e-05,5.624999999999999,0.24082003853205883,0.253158995068794,0.012338956536735196
B8,5.0,1.25,0.24,5.625e-05,5.624999999999999,0.3294798877672999,0.32973069153567597,0.0002508037683760511
B8,7.0,1.25,0.24,5.625e-05,5.624999999999999,0.28232308467982437,0.28653121384765085,0.00420812916782648
B8,10.0,1.25,0.24,5.625e-05,5.624999999999999,0.25397352443140553,0.2555103118757833,0.0015367874443777962
B8,12.0,1.25,0.24,5.625e-05,5.624999999999999,0.2456979465063422,0.278960948942513,0.03326300243617081
B8,14.0,1.25,0.24,5.625e-05,5.624999999999999,0.24082003853205883,0.2718882429808859,0.031068204448827047
B8,5.0,0.25,0.24,5.75e-05,5.75,0.33325552596508246,0.3394003098384031,0.006144783873320625
B8,7.0,0.25,0.24,5.75e-05,5.75,0.2847451685742577,0.32072251571132593,0.03597734713706824
B8,10.0,0.25,0.24,5.75e-05,5.75,0.2551903961628353,0.298916752945653,0.04372635678281772
B8,12.0,0.25,0.24,5.75e-05,5.75,0.24651819537818184,0.26944516421085135,0.02292696883266951
B8,14.0,0.25,0.24,5.75e-05,5.75,0.2414021653420341,0.2764807226691836,0.03507855732714951
B8,5.0,0.8,0.24,5.75e-05,5.75,0.33325552596508246,0.3412997584415504,0.00804423247646796
B8,7.0,0.8,0.24,5.75e-05,5.75,0.2847451685742577,0.29092872645224604,0.006183557877988355
B8,10.0,0.8,0.24,5.75e-05,5.75,0.2551903961628353,0.2554492907205699,0.00025889455773459025
B8,12.0,0.8,0.24,5.75e-05,5.75,0.24651819537818184,0.28517536478101324,0.0386571694028314
B8,14.0,0.8,0.24,5.75e-05,5.75,0.2414021653420341,0.24859900210218078,0.00719683676014668
B8,5.0,1.25,0.24,5.75e-05,5.75,0.33325552596508246,0.34209957522799106,0.008844049262908604
B8,7.0,1.25,0.24,5.75e-05,5.75,0.2847451685742577,0.287281814263854,0.0025366456895963285
B8,10.0,1.25,0.24,5.75e-05,5.75,0.2551903961628353,0.2595423925738109,0.0043519964109756115
B8,12.0,1.25,0.24,5.75e-05,5.75,0.24651819537818184,0.2800441237032738,0.033525928325091964
B8,14.0,1.25,0.24,5.75e-05,5.75,0.2414021653420341,0.2834124781813318,0.04201031283929771
B8,5.0,0.25,0.24,5.875e-05,5.874999999999999,0.33702026356786496,0.3355583022763646,-0.001461961291500391
