E_MeV,T_e_MeV,T_max_MeV,dsigma_nue_cm2_per_MeV,dsigma_nux_cm2_per_MeV
13.485828877005348,6.7,13.23508003309814,9.391883543458177e-45,1.498506339194857e-45
13.485828877005348,6.800000000000001,13.23508003309814,9.384241714406986e-45,1.4919839603474937e-45
13.485828877005348,6.9,13.23508003309814,9.376701183758509e-45,1.485562879902847e-45
13.485828877005348,7.0,13.23508003309814,9.369261951512752e-45,1.479243097860918e-45
13.485828877005348,7.1000000000000005,13.23508003309814,9.361924017669712e-45,1.473024614221705e-45
13.485828877005348,7.2,13.23508003309814,9.354687382229388e-45,1.4669074289852094e-45
13.485828877005348,7.300000000000001,13.23508003309814,9.34755204519178e-45,1.460891542151431e-45
13.485828877005348,7.4,13.23508003309814,9.340518006556889e-45,1.454976953720369e-45
13.485828877005348,7.5,13.23508003309814,9.333585266324717e-45,1.449163663692024e-45
13.485828877005348,7.6000000000000005,13.23508003309814,9.32675382449526e-45,1.4434516720663958e-45
13.485828877005348,7.7,13.23508003309814,9.320023681068521e-45,1.437840978843485e-45
13.485828877005348,7.800000000000001,13.23508003309814,9.313394836044496e-45,1.432331584023291e-45
13.485828877005348,7.9,13.23508003309814,9.306867289423192e-45,1.4269234876058138e-45
13.485828877005348,8.0,13.23508003309814,9.300441041204603e-45,1.4216166895910538e-45
13.485828877005348,8.1,13.23508003309814,9.294116091388733e-45,1.4164111899790107e-45
13.485828877005348,8.200000000000001,13.23508003309814,9.287892439975576e-45,1.4113069887696845e-45
13.485828877005348,8.3,13.23508003309814,9.281770086965139e-45,1.406304085963075e-45
13.485828877005348,8.4,13.23508003309814,9.275749032357418e-45,1.4014024815591822e-45
13.485828877005348,8.5,13.23508003309814,9.269829276152413e-45,1.396602175558007e-45
13.485828877005348,8.6,13.23508003309814,9.264010818350126e-45,1.3919031679595484e-45
13.485828877005348,8.700000000000001,13.23508003309814,9.258293658950556e-45,1.3873054587638067e-45
13.485828877005348,8.8,13.23508003309814,9.252677797953703e-45,1.3828090479707822e-45
13.485828877005348,8.9,13.23508003309814,9.247163235359569e-45,1.3784139355804742e-45
13.485828877005348,9.0,13.23508003309814,9.241749971168146e-45,1.3741201215928836e-45
13.485828877005348,9.1,13.23508003309814,9.236438005379445e-45,1.3699276060080096e-45
13.485828877005348,9.200000000000001,13.23508003309814,9.231227337993459e-45,1.3658363888258527e-45
13.485828877005348,9.3,13.23508003309814,9.226117969010189e-45,1.3618464700464127e-45
13.485828877005348,9.4,13.23508003309814,9.22110989842964e-45,1.3579578496696895e-45
13.485828877005348,9.5,13.23508003309814,9.216203126251804e-45,1.3541705276956837e-45
13.485828877005348,9.600000000000001,13.23508003309814,9.211397652476687e-45,1.3504845041243942e-45
13.485828877005348,9.700000000000001,13.23508003309814,9.206693477104288e-45,1.346899778955822e-45
13.485828877005348,9.8,13.23508003309814,9.202090600134604e-45,1.3434163521899666e-45
13.485828877005348,9.9,13.23508003309814,9.197589021567635e-45,1.3400342238268281e-45
13.485828877005348,10.0,13.23508003309814,9.193188741403386e-45,1.3367533938664065e-45
13.485828877005348,10.100000000000001,13.23508003309814,9.188889759641853e-45,1.3335738623087021e-45
13.485828877005348,10.200000000000001,13.23508003309814,9.184692076283037e-45,1.3304956291537143e-45
13.485828877005348,10.3,13.23508003309814,9.180595691326939e-45,1.327518694401444e-45
13.485828877005348,10.4,13.23508003309814,9.176600604773558e-45,1.3246430580518903e-45
13.485828877005348,10.5,13.23508003309814,9.172706816622892e-45,1.3218687201050535e-45
13.485828877005348,10.600000000000001,13.23508003309814,9.168914326874942e-45,1.3191956805609337e-45
13.485828877005348,10.700000000000001,13.23508003309814,9.165223135529711e-45,1.3166239394195307e-45
13.485828877005348,10.8,13.23508003309814,9.161633242587196e-45,1.314153496680845e-45
13.485828877005348,10.9,13.23508003309814,9.1581446480474e-45,1.3117843523448754e-45
13.485828877005348,11.0,13.23508003309814,9.154757351910318e-45,1.3095165064116235e-45
13.485828877005348,11.100000000000001,13.23508003309814,9.151471354175955e-45,1.3073499588810884e-45
13.485828877005348,11.200000000000001,13.23508003309814,9.148286654844308e-45,1.30528470975327e-45
13.485828877005348,11.3,13.23508003309814,9.145203253915378e-45,1.3033207590281688e-45
13.485828877005348,11.4,13.23508003309814,9.142221151389163e-45,1.3014581067057846e-45
13.485828877005348,11.5,13.23508003309814,9.139340347265668e-45,1.299696752786117e-45
13.485828877005348,11.600000000000001,13.23508003309814,9.136560841544889e-45,1.2980366972691665e-45
13.485828877005348,11.700000000000001,13.23508003309814,9.133882634226827e-45,1.2964779401549325e-45
13.485828877005348,11.8,13.23508003309814,9.131305725311482e-45,1.295020481443416e-45
13.485828877005348,11.9,13.23508003309814,9.128830114798853e-45,1.2936643211346164e-45
13.485828877005348,12.0,13.23508003309814,9.126455802688943e-45,1.2924094592285337e-45
13.485828877005348,12.100000000000001,13.23508003309814,9.124182788981748e-45,1.291255895725168e-45
13.485828877005348,12.200000000000001,13.23508003309814,9.12201107367727e-45,1.2902036306245192e-45
13.485828877005348,12.3,13.23508003309814,9.11994065677551e-45,1.2892526639265872e-45
13.485828877005348,12.4,13.23508003309814,9.117971538276466e-45,1.2884029956313723e-45
13.485828877005348,12.5,13.23508003309814,9.11610371818014e-45,1.2876546257388741e-45
13.485828877005348,12.600000000000001,13.23508003309814,9.114337196486531e-45,1.2870075542490928e-45
13.485828877005348,12.700000000000001,13.23508003309814,9.112671973195638e-45,1.2864617811620287e-45
13.485828877005348,12.8,13.23508003309814,9.111108048307463e-45,1.2860173064776813e-45
13.485828877005348,12.9,13.23508003309814,9.109645421822004e-45,1.285674130196051e-45
13.485828877005348,13.0,13.23508003309814,9.108284093739261e-45,1.2854322523171377e-45
13.485828877005348,13.100000000000001,13.23508003309814,9.107024064059235e-45,1.2852916728409413e-45
13.485828877005348,13.200000000000001,13.23508003309814,9.105865332781929e-45,1.2852523917674617e-45
13.485828877005348,13.3,13.23508003309814,0.0,0.0
13.485828877005348,13.4,13.23508003309814,0.0,0.0
13.485828877005348,13.5,13.23508003309814,0.0,0.0
13.485828877005348,13.600000000000001,13.23508003309814,0.0,0.0
13.485828877005348,13.700000000000001,13.23508003309814,0.0,0.0
13.485828877005348,13.8,13.23508003309814,0.0,0.0
13.485828877005348,13.9,13.23508003309814,0.0,0.0
13.485828877005348,14.0,13.23508003309814,0.0,0.0
13.485828877005348,14.100000000000001,13.23508003309814,0.0,0.0
13.485828877005348,14.200000000000001,13.23508003309814,0.0,0.0
13.485828877005348,14.3,13.23508003309814,0.0,0.0
13.485828877005348,14.4,13.23508003309814,0.0,0.0
13.485828877005348,14.5,13.23508003309814,0.0,0.0
13.485828877005348,14.600000000000001,13.23508003309814,0.0,0.0
13.485828877005348,14.700000000000001,13.23508003309814,0.0,0.0
13.485828877005348,14.8,13.23508003309814,0.0,0.0
13.485828877005348,14.9,13.23508003309814,0.0,0.0
13.485828877005348,15.0,13.23508003309814,0.0,0.0
13.485828877005348,15.100000000000001,13.23508003309814,0.0,0.0
13.485828877005348,15.200000000000001,13.23508003309814,0.0,0.0
13.485828877005348,15.3,13.23508003309814,0.0,0.0
13.485828877005348,15.4,13.23508003309814,0.0,0.0
13.485828877005348,15.5,13.23508003309814,0.0,0.0
13.485828877005348,15.600000000000001,13.23508003309814,0.0,0.0
13.485828877005348,15.700000000000001,13.23508003309814,0.0,0.0
13.485828877005348,15.8,13.23508003309814,0.0,0.0
13.485828877005348,15.9,13.23508003309814,0.0,0.0
13.485828877005348,16.0,13.23508003309814,0.0,0.0
13.485828877005348,16.1,13.23508003309814,0.0,0.0
13.485828877005348,16.2,13.23508003309814,0.0,0.0
13.485828877005348,16.3,13.23508003309814,0.0,0.0
13.485828877005348,16.400000000000002,13.23508003309814,0.0,0.0
13.485828877005348,16.5,13.23508003309814,0.0,0.0
13.485828877005348,16.6,13.23508003309814,0.0,0.0
13.485828877005348,16.7,13.23508003309814,0.0,0.0
13.485828877005348,16.8,13.23508003309814,0.0,0.0
13.485828877005348,16.900000000000002,13.23508003309814,0.0,0.0
13.485828877005348,17.0,13.23508003309814,0.0,0.0
13.485828877005348,17.1,13.23508003309814,0.0,0.0
13.485828877005348,17.2,13.23508003309814,0.0,0.0
13.485828877005348,17.3,13.23508003309814,0.0,0.0
13.485828877005348,17.400000000000002,13.23508003309814,0.0,0.0
13.485828877005348,17.5,13.23508003309814,0.0,0.0
13.485828877005348,17.6,13.23508003309814,0.0,0.0
13.485828877005348,17.7,13.23508003309814,0.0,0.0
