source,E_MeV,spectrum_per_MeV,kind
pp,15.22,0.0,continuum
pp,15.24,0.0,continuum
pp,15.26,0.0,continuum
pp,15.28,0.0,continuum
pp,15.3,0.0,continuum
pp,15.32,0.0,continuum
pp,15.34,0.0,continuum
pp,15.36,0.0,continuum
pp,15.379999999999999,0.0,continuum
pp,15.4,0.0,continuum
pp,15.42,0.0,continuum
pp,15.44,0.0,continuum
pp,15.459999999999999,0.0,continuum
pp,15.48,0.0,continuum
pp,15.5,0.0,continuum
pp,15.52,0.0,continuum
pp,15.54,0.0,continuum
pp,15.56,0.0,continuum
pp,15.58,0.0,continuum
pp,15.6,0.0,continuum
pp,15.62,0.0,continuum
pp,15.64,0.0,continuum
pp,15.66,0.0,continuum
pp,15.68,0.0,continuum
pp,15.7,0.0,continuum
pp,15.72,0.0,continuum
pp,15.74,0.0,continuum
pp,15.76,0.0,continuum
pp,15.78,0.0,continuum
pp,15.8,0.0,continuum
pp,15.82,0.0,continuum
pp,15.84,0.0,continuum
pp,15.86,0.0,continuum
pp,15.88,0.0,continuum
pp,15.9,0.0,continuum
pp,15.92,0.0,continuum
pp,15.94,0.0,continuum
pp,15.959999999999999,0.0,continuum
pp,15.98,0.0,continuum
pp,16.0,0.0,continuum
pp,16.02,0.0,continuum
pp,16.04,0.0,continuum
pp,16.06,0.0,continuum
pp,16.08,0.0,continuum
pp,16.1,0.0,continuum
pp,16.12,0.0,continuum
pp,16.14,0.0,continuum
pp,16.16,0.0,continuum
pp,16.18,0.0,continuum
pp,16.2,0.0,continuum
pp,16.22,0.0,continuum
pp,16.24,0.0,continuum
pp,16.26,0.0,continuum
pp,16.28,0.0,continuum
pp,16.3,0.0,continuum
pp,16.32,0.0,continuum
pp,16.34,0.0,continuum
pp,16.36,0.0,continuum
pp,16.38,0.0,continuum
pp,16.4,0.0,continuum
pp,16.419999999999998,0.0,continuum
pp,16.44,0.0,continuum
pp,16.46,0.0,continuum
pp,16.48,0.0,continuum
pp,16.5,0.0,continuum
pp,16.52,0.0,continuum
pp,16.54,0.0,continuum
pp,16.56,0.0,continuum
pp,16.58,0.0,continuum
pp,16.6,0.0,continuum
pp,16.62,0.0,continuum
pp,16.64,0.0,continuum
pp,16.66,0.0,continuum
pp,16.68,0.0,continuum
pp,16.7,0.0,continuum
pp,16.72,0.0,continuum
pp,16.74,0.0,continuum
pp,16.76,0.0,continuum
pp,16.78,0.0,continuum
pp,16.8,0.0,continuum
pp,16.82,0.0,continuum
pp,16.84,0.0,continuum
pp,16.86,0.0,continuum
pp,16.88,0.0,continuum
pp,16.9,0.0,continuum
pp,16.919999999999998,0.0,continuum
pp,16.94,0.0,continuum
pp,16.96,0.0,continuum
pp,16.98,0.0,continuum
pp,17.0,0.0,continuum
pp,17.02,0.0,continuum
pp,17.04,0.0,continuum
pp,17.06,0.0,continuum
pp,17.08,0.0,continuum
pp,17.1,0.0,continuum
pp,17.12,0.0,continuum
pp,17.14,0.0,continuum
pp,17.16,0.0,continuum
pp,17.18,0.0,continuum
pp,17.2,0.0,continuum
pp,17.22,0.0,continuum
pp,17.24,0.0,continuum
pp,17.26,0.0,continuum
pp,17.28,0.0,continuum
pp,17.3,0.0,continuum
pp,17.32,0.0,continuum
pp,17.34,0.0,continuum
pp,17.36,0.0,continuum
