E_MeV,sigma_nue_cm2,sigma_nux_cm2,sigma_mass_1_cm2,sigma_mass_2_cm2,sigma_mass_3_cm2,Ue1_abs2,Ue2_abs2,Ue3_abs2
9.976470588235294,9.185616606664817e-44,1.5417532395564473e-44,6.720293333142252e-44,3.8358539736557863e-44,1.7129757789796747e-44,0.6774768000000001,0.3001232,0.0224
10.07673796791444,9.303963354113132e-44,1.5606128207425528e-44,6.806553161368747e-44,3.884571961539437e-44,1.734063872690054e-44,0.6774768000000001,0.3001232,0.0224
10.177005347593584,9.393846805876069e-44,1.5753952399460523e-44,6.87221478778731e-44,3.9218939429579793e-44,1.7505285550228848e-44,0.6774768000000001,0.3001232,0.0224
10.277272727272727,9.483729187840987e-44,1.5901780446480567e-44,6.937875813774746e-44,3.9592158731067767e-44,1.7669935902555782e-44,0.6774768000000001,0.3001232,0.0224
10.377540106951873,9.573610531491596e-44,1.6049612233805996e-44,7.003536256961852e-44,3.996537753408657e-44,1.783458967882286e-44,0.6774768000000001,0.3001232,0.0224
10.477807486631017,9.663490867088472e-44,1.6197447651258292e-44,7.069196134295955e-44,4.033859585234384e-44,1.7999246778097925e-44,0.6774768000000001,0.3001232,0.0224
10.57807486631016,9.781857863680802e-44,1.638596689485758e-44,7.15546721134366e-44,4.082578291520932e-44,1.821005739787727e-44,0.6774768000000001,0.3001232,0.0224
10.678342245989306,9.871740518672622e-44,1.6533794299385514e-44,7.221128401578625e-44,4.119900258644904e-44,1.8374707183261946e-44,0.6774768000000001,0.3001232,0.0224
10.77860962566845,9.961622168439874e-44,1.668162532385952e-44,7.286789027548929e-44,4.1572221774292903e-44,1.8539360282335598e-44,0.6774768000000001,0.3001232,0.0224
10.878877005347594,1.0051502841209302e-43,1.6829459865402366e-44,7.3524491050595e-44,4.1945440491454514e-44,1.8704016600848236e-44,0.6774768000000001,0.3001232,0.0224
10.97914438502674,1.0141382564160888e-43,1.697729782499576e-44,7.418108649330581e-44,4.23186587502067e-44,1.8868676048087895e-44,0.6774768000000001,0.3001232,0.0224
11.079411764705883,1.0259767871371095e-43,1.7165747924763214e-44,7.504389901348102e-44,4.2805852375320733e-44,1.9079423174435643e-44,0.6774768000000001,0.3001232,0.0224
