T_e_MeV,epsilon_sk_like,background_sk_shape
13.05,0.9999999999754072,0.035084354100845025
13.100000000000001,0.999999999978681,0.03450446073395047
13.15,0.9999999999815192,0.0339341521613492
13.200000000000001,0.9999999999839793,0.033373269960326066
13.25,0.999999999986112,0.03282165832666321
13.3,0.9999999999879607,0.03227916403135985
13.350000000000001,0.9999999999895635,0.031745636378067925
13.4,0.9999999999909528,0.031220927161230903
13.450000000000001,0.9999999999921572,0.03070489062491457
13.5,0.9999999999932012,0.0301973834223185
13.55,0.9999999999941063,0.029698264575956375
13.600000000000001,0.999999999994891,0.02920739543849486
13.65,0.9999999999955711,0.028724639654239423
13.700000000000001,0.9999999999961606,0.028249863121256928
13.75,0.9999999999966718,0.02778293395412425
13.8,0.9999999999971148,0.02732372244729256
13.850000000000001,0.9999999999974989,0.026872101039057166
13.9,0.9999999999978317,0.026427944276122963
13.950000000000001,0.9999999999981204,0.025991128778755333
14.0,0.9999999999983706,0.025561533206507402
14.05,0.9999999999985876,0.02513903822451338
14.100000000000001,0.9999999999987756,0.024723526470339374
14.15,0.9999999999989386,0.02431488252138192
14.200000000000001,0.9999999999990798,0.023912992862805304
14.25,0.9999999999992024,0.023517745856009107
14.3,0.9999999999993086,0.023129031707616588
14.350000000000001,0.9999999999994007,0.022746742438975977
14.4,0.9999999999994804,0.02237077185616559
14.450000000000001,0.9999999999995495,0.0220010155204949
14.5,0.9999999999996094,0.02163737071949309
14.55,0.9999999999996616,0.02127973643837717
14.600000000000001,0.9999999999997067,0.020928013331991634
14.65,0.9999999999997455,0.020582103697212015
14.700000000000001,0.9999999999997795,0.02024191144580438
14.75,0.9999999999998088,0.019907342077733686
14.8,0.9999999999998344,0.019578302654912998
14.850000000000001,0.9999999999998563,0.019254701775386913
14.9,0.9999999999998754,0.018936449547941457
14.950000000000001,0.9999999999998921,0.018623457567133687
15.0,0.9999999999999065,0.01831563888873418
15.05,0.999999999999919,0.01801290800557516
15.100000000000001,0.9999999999999296,0.01771518082379804
15.15,0.9999999999999389,0.017422374639493515
15.200000000000001,0.9999999999999472,0.017134408115727553
15.25,0.9999999999999543,0.01685120125994751
15.3,0.9999999999999603,0.016572675401761237
15.350000000000001,0.9999999999999656,0.016298753171083886
15.4,0.9999999999999702,0.016029358476645567
15.450000000000001,0.999999999999974,0.015764416484854486
15.5,0.9999999999999776,0.015503853599009314
15.55,0.9999999999999805,0.015247597438855207
15.600000000000001,0.9999999999999831,0.014995576820477703
15.65,0.9999999999999853,0.014747721736528956
15.700000000000001,0.9999999999999873,0.014503963336780803
15.75,0.9999999999999891,0.014264233908999256
15.8,0.9999999999999905,0.014028466860135112
15.850000000000001,0.9999999999999918,0.01379659669782545
15.9,0.9999999999999929,0.013568559012200934
15.950000000000001,0.9999999999999938,0.013344290457993652
16.0,0.9999999999999947,0.013123728736940968
16.05,0.9999999999999953,0.012906812580479862
16.1,0.999999999999996,0.012693481732727673
16.150000000000002,0.9999999999999964,0.01248367693374383
16.2,0.9999999999999969,0.012277339903068448
16.25,0.9999999999999973,0.012074413323532873
16.3,0.9999999999999978,0.011874840825337983
16.35,0.999999999999998,0.011678566970395442
16.400000000000002,0.9999999999999982,0.01148553723692792
16.45,0.9999999999999984,0.011295698004323836
16.5,0.9999999999999987,0.011108996538242306
16.55,0.9999999999999989,0.010925380975964478
16.6,0.9999999999999991,0.010744800311986819
16.650000000000002,0.9999999999999991,0.010567204383852646
16.7,0.9999999999999993,0.01039254385821774
16.75,0.9999999999999993,0.010220770217146324
16.8,0.9999999999999996,0.010051835744633576
16.85,0.9999999999999996,0.009885693513350885
16.900000000000002,0.9999999999999996,0.00972229737161013
16.95,0.9999999999999996,0.009561601930543513
17.0,0.9999999999999998,0.009403562551495206
17.05,0.9999999999999998,0.009248135333621508
17.1,0.9999999999999998,0.009095277101695816
17.150000000000002,0.9999999999999998,0.008944945394115243
17.2,0.9999999999999998,0.008797098451105509
17.25,0.9999999999999998,0.008651695203120634
17.3,0.9999999999999998,0.008508695259434564
17.35,0.9999999999999998,0.008368058896921209
17.400000000000002,1.0,0.008229747049020023
17.45,1.0,0.008093721294883897
17.5,1.0,0.00795994384870645
17.55,1.0,0.007828377549225767
17.6,1.0,0.007698985849401577
17.650000000000002,1.0,0.00757173280626303
17.7,1.0,0.007446583070924344
17.75,1.0,0.007323501878765404
17.8,1.0,0.007202455039774759
17.85,1.0,0.0070834089290521185
17.900000000000002,1.0,0.006966330477467908
17.95,1.0,0.006851187162477213
18.0,1.0,0.006737946999085467
